"As a whole enterprise, there is a choppy, surface-effect feeling.",negative
As wholly believable and heart-wrenching depths,positive
As artistic transcendence,positive
As it tries to cram too many ingredients into one small pot,negative
As you treat.,positive
As retaining an integrity,positive
"As sharing the same scene, look ill at ease.",negative
As a natural sense for what works,positive
"As necessary, throw elbows.",positive
As very sluggish,negative
As an overproduced piece,negative
As ugly as the shabby digital photography and,negative
"As I say the obvious, abandon all hope of a good movie ye who enter here.",negative
As a funny moment,positive
As 'frailty' starts out like a typical bible killer story,negative
"As some writer dude, I think his name was Michael Zaidan, was supposed to have like written the screenplay or something.",negative
"As payami tries to raise some serious issues about Iran's electoral process, the result is a film that's about as subtle as a party political broadcast.",negative
"As captivating as the rowdy participants think it is, the content isn't nearly as captivating eventually.",negative
As noisy and pretentious,negative
As 'zany' doesn't necessarily mean 'funny',negative
"As an intensely lived time,",positive
"As they employ their quirky and fearless ability to look American angst in the eye, they end up laughing.",positive
"As any fan of goofball stunts from the show 'Jackass'"",
  ""original_sentence"": ""of goofball stunts any 'Jackass' fan",negative
As brave,positive
As sinister inspiration,positive
As no-nonsense human beings they are.,positive
"As competent, unpretentious entertainment.",positive
As Jennifer Love Hewitt is squandered,negative
As it has a way of seeping into your consciousness,positive
As a tooled action thriller about love and terrorism,positive
"As putrid writing, direction, and timing.",negative
As a breezy blend,positive
"As ayurveda can help us return to a sane regimen of eating, sleeping, and stress-reducing contemplation, it is clearly a good thing.",positive
As attracting audiences,positive
"As the impressively discreet filmmakers may have expected to record a heartwarming scene with their mini dv, they show a remarkable ability to document both sides of this emotional car-wreck.",positive
As contributions are important.,positive
As an amusement,positive
"As jump cuts , fast editing",negative
"As heartily sick of mayhem as Cage's war-weary marine in the wake of saving Private Ryan, Black Hawk Down, and We Were Soldiers, you are likely to be.",negative
"As a film, it is an undeniably worthy and devastating experience.",positive
As an overexposed waste of film,negative
As most of the characters forget their lines,negative
As it is just so not-at-all-good,negative
"As listless, witless,",negative
As handsome,positive
As a few nice twists in a standard plot and the charisma of Hugh Grant and Sandra Bullock.,positive
As airless cinematic shell games.,negative
As little insight next to,negative
"As McWilliams's melancholy music is charged with metaphor,",positive
As cheesy backdrops,negative
As Peter Jackson and company once again dazzle and delight us,positive
"As some weird relative trots out the video he took of the family vacation to Stonehenge, it feels like being trapped.",negative
As it must have been lost in the mail.,negative
As there is an utter lack,negative
As beneath otherwise tender movements,positive
"As the best the contest received, those rejected must have been astronomically bad.",negative
As you follow your dream,positive
As there is no denying the power of Polanski's film,positive
As he matches his ambition,positive
"As an excuse, it was virulently unpleasant.",negative
As confusing sexual messages,negative
As queasy infatuation and overall strangeness,negative
"As a documentary, one that makes a depleted yesterday feel very much like a brand-new tomorrow.",positive
As a really solid Woody Allen film,positive
As opulent.,positive
As splendid singing,positive
"As this noble warlord, he would be consigned to the dustbin of history.",negative
As an intelligent person,positive
As small and sweet as Evelyn.,positive
"As you answered yes, by all means enjoy the new guy.",positive
As such a mountain of clich̩s and borrowed images bury an interesting storyline about morality and the choices we make,negative
As desolate,negative
As he shows the wars and empathizes with the victims he reveals,positive
"As 'his girl friday,' maintaining a light touch while tackling serious themes",positive
As she broke free of her old life,positive
As these days are about nothing,negative
As terrific casting,positive
"As very light errol morris , focusing on eccentricity but failing , ultimately , to make something bigger out of its scrapbook of oddballs , it feels.",negative
As their treatment is consistently sensitive and often exciting,positive
"As the kathie lee gifford of film directors, sadly proving once again ego doesn't always go hand in hand with talent.",negative
As emphasizing the disappointingly generic nature of the entire effort,negative
"As your typical junkie opera, auto focus bears out.",negative
"As he is stoked to make an important film about human infidelity and happenstance, he tosses a kitchen sink onto a story already overladen with plot conceits.",negative
As technically proficient and,positive
As chilly and brooding but quietly,positive
As lazy exercise,negative
As predictable than their consequences,negative
As a proper home,positive
"As his beautiful, self-satisfied 22-year-old girlfriend and an equally beautiful, self-satisfied 18-year-old mistress",positive
As rather unexceptional,negative
"As an under-inspired, overblown enterprise.",negative
As a milquetoast movie of the week blown up for the big screen,negative
As farcical raunch is injected,negative
"As the romantic comedy genre has been held hostage by generic scripts that seek to remake Sleepless in Seattle again and again, it injects freshness and spirit.",positive
As their resemblance to everyday children.,positive
"As much as I enjoyed it, I will wish there had been more of the 'queen' and less of the 'damned.'",negative
"As a fascinating, unnerving examination of the delusions of one unstable man.",positive
As one of the best actors there is,positive
As completely serviceable and quickly forgettable,negative
"As a remarkably cohesive whole, both visually and thematically,",positive
"As a victim of mental illness, it also makes her appear foolish and shallow rather than, as was more likely.",negative
As ugly and destructive,negative
"As a movie, it was baaaaaaaad.",negative
As a detailed personal portrait,positive
"As human urges conflict with an institution concerned with self-preservation, the cost becomes delineated.",negative
As sanitised and stagey feel,negative
As direct-to-video/dvd,negative
As the road to perdition leads to a satisfying destination,positive
"As fresh and raw like a blown-out vein, narc takes a walking-dead, cop-flick subgenre and beats new life into it.",positive
"As hard as it is to quibble with a flick boasting this many genuine cackles, but",positive
"As difficult to imagine that a more confused, less interesting and more sloppily made film could possibly come down the road in 2002",negative
As crane 's decline with unblinking candor,positive
"As written a more credible script, though with the same number of continuity errors.",negative
"As a simple, sweet, and romantic comedy, it is sure to give you a lot of laughs.",positive
"As spirit, perception, and conviction increase, more of them are experienced.",positive
"As the gags fly at such a furiously funny pace, the only rip off we were aware of was the one we felt when the movie ended so damned soon.",positive
As teeth-clenching,positive
"As brilliant as the movie is, really.",positive
As entertainingly reenacting a historic scandal,positive
As you can get your money back,negative
As timid and soggy,negative
As can be made on the cheap,negative
"As your mind is being blown, you barely realize.",positive
As light nor magical enough to bring off this kind of whimsy.,negative
As a stale retread of the '53 original.,negative
As one of the most gloriously unsubtle and adrenalized extreme,positive
As abhorrent,negative
