"Because there is a choppy, surface-effect feeling to the whole enterprise.",negative
Because of its wholly believable and heart-wrenching depths.,positive
Because of artistic transcendence.,positive
Because the cook tries to cram too many ingredients into one small pot.,negative
"Because it is important, we should treat one another with kindness and respect.",positive
Because retaining an integrity is important.,positive
Because they look ill at ease sharing the same scene.,negative
Because there is a natural sense for what works.,positive
"Because it is necessary, throw elbows when needed.",positive
Because it was very sluggish.,negative
Because this overproduced piece...,negative
Because the shabby digital photography was as ugly as it was.,negative
"Because of the obvious lack of quality in movies, one must abandon all hope upon entering the film.",negative
Because a funny moment occurred.,positive
Because 'frailty' starts out like a typical bible killer story.,negative
"Because some writer dude, I think his name was Michael Zaidan, was supposed to have like written the screenplay or something.",negative
"Because Payami tries to raise some serious issues about Iran's electoral process, the result is a film that's about as subtle as a party political broadcast.",negative
"Because the content is not nearly as captivating as the rowdy participants think it is, eventually.",negative
Because they were noisy and pretentious.,negative
Because 'zany' doesn't necessarily mean 'funny'.,negative
"Because it was an intensely lived time, ...",positive
"Because they employ their quirky and fearless ability to look American angst in the eye, they end up laughing.",positive
"Because of the goofball stunts, any ""Jackass"" fan...",negative
Because he was brave.,positive
"Because of sinister inspiration, ...",positive
Because they are no-nonsense human beings.,positive
Because it provides competent and unpretentious entertainment.,positive
Because Jennifer Love Hewitt should not be squandered.,negative
Because it has a way of seeping into your consciousness.,positive
Because it combines elements of a tooled action thriller with themes of love and terrorism.,positive
"Because of putrid writing, direction, and timing.",negative
Because the blend was breezy.,positive
"'Because Ayurveda can help us return to a sane regimen of eating, sleeping, and stress-reducing contemplation, it is clearly a good thing.'",positive
Because attracting audiences is crucial for the success of the event.,positive
"Because the impressively discreet filmmakers show a remarkable ability to document both sides of this emotional car-wreck with their mini dv, whatever heartwarming scene they may have expected to record is captured effectively.",positive
Because contributions are essential for the success of the project.,positive
Because it provides amusement.,positive
"Because of jump cuts, fast editing occurs.",negative
"Because you have been exposed to movies like 'Saving Private Ryan,' 'Black Hawk Down,' and 'We Were Soldiers,' you are probably feeling pretty weary of all the chaos, just like Cage's war-weary marine.",negative
Because he has made a film that is an undeniably worthy and devastating experience.,positive
Because it was an overexposed waste of film.,negative
"Because most of the characters forget their lines, there are frequent interruptions during the play.",negative
Because it's just so not-at-all-good.,negative
Because she was listless and witless.,negative
Because he was handsome.,positive
Because there are a few nice twists in a standard plot and the charisma of Hugh Grant and Sandra Bullock.,positive
Because of airless cinematic shell games.,negative
Because there is next to little insight.,negative
Because McWilliams's melancholy music is charged with metaphor.,positive
"Because cheesy backdrops were overused and lacking originality, the event planners decided to opt for a more elegant and sophisticated design.",negative
Because Peter Jackson and company once again dazzle and delight us.,positive
Because it feels like being trapped while some weird relative trots out the video he took of the family vacation to Stonehenge.,negative
Because the item must have been lost in the mail.,negative
Because of the utter lack.,negative
"Because beneath otherwise tender movements, ...",positive
Because the rejected scripts must have been astronomically bad if this sappy script was the best the contest received.,negative
Because following your dream is important.,positive
"Because there is no denying the power of Polanski's film, ...",positive
Because he wanted to match his ambition.,positive
Because the excuse was virulently unpleasant.,negative
Because of the confusing sexual messages.,negative
Because of the queasy infatuation and overall strangeness.,negative
"Because of the documentary, yesterday, which felt depleted, now has the potential to feel like a brand-new tomorrow.",positive
Because it was a really solid Woody Allen film.,positive
"Because the surroundings were opulent, it was a grand and luxurious setting.",positive
"Because of the splendid singing, ...",positive
Because this noble warlord would be consigned to the dustbin of history.,negative
Because an intelligent person usually makes informed decisions.,positive
Because Evelyn is small and sweet.,positive
"Because you answered yes, by all means enjoy the new guy.",positive
Because such a mountain of clich̩s and borrowed images bury an interesting storyline about morality and the choices we make underneath.,negative
Because the area is desolate.,negative
"Because he shows the wars and empathizes with the victims, he reveals them.",positive
"Because ""His Girl Friday"" maintains a light touch while tackling serious themes.",positive
Because she wanted to break free of her old life,positive
Because these days are about nothing.,negative
Because of the terrific casting.,positive
"Because it feels like very light Errol Morris, focusing on eccentricity but ultimately failing to make something bigger out of its scrapbook of oddballs.",negative
Because of their consistently sensitive and often exciting treatment.,positive
"Because the director is the Kathie Lee Gifford of film directors, sadly proving once again that ego doesn't always go hand in hand with talent.",negative
Because the entire effort was disappointingly generic.,negative
Because auto focus bears out as your typical junkie opera ...,negative
"Because he was stoked to create an important film about human infidelity and happenstance, he tossed a kitchen sink onto a story that was already overladen with plot conceits.",negative
Because the individual is technically proficient.,positive
"Because it was chilly and brooding, but quietly, ...",positive
"Because lazy, exercise is not being done.",negative
Because their consequences are more predictable.,negative
Because every individual deserves to have a proper home.,positive
"Because he had a beautiful, self-satisfied 22-year-old girlfriend and an equally beautiful, self-satisfied 18-year-old mistress.",positive
Because it is rather unexceptional.,negative
Because the enterprise is under-inspired and overblown.,negative
Because it is like a milquetoast movie of the week blown up for the big screen.,negative
Because injecting farcical raunch.,negative
"Because the romantic comedy genre has been held hostage by generic scripts that seek to remake Sleepless in Seattle again and again, injecting freshness and spirit is important.",positive
Because of their resemblance to everyday children.,positive
"Because there will have been more of the ""queen"" and less of the ""damned,"" you will wish.",negative
Because the delusions of one unstable man are examined in a fascinating yet unnerving way.,positive
Because he is one of the best actors there is.,positive
Because the movie is completely serviceable and quickly forgettable.,negative
"Because it is a remarkably cohesive whole, both visually and thematically.",positive
"Because it also makes her appear foolish and shallow rather than, as was more likely, a victim of mental illness.",negative
Because the behavior was both ugly and destructive.,negative
Because the movie is baaaaaaaad.,negative
"Because a detailed personal portrait is being portrayed, the artwork captures the intricacies of the subject.",positive
Because there is a need to delineate the cost of the inevitable conflicts between human urges and an institution concerned with self-preservation.,negative
Because they feel sanitised and stagey.,negative
Because it was a direct-to-video/DVD release.,negative
Because the road to perdition leads to a satisfying destination.,positive
"Because narc takes a walking-dead, cop-flick subgenre and beats new life into it, it is fresh and raw like a blown-out vein.",positive
"Because it 's hard to quibble with a flick boasting this many genuine cackles, but'",positive
"Because it is difficult to imagine, a more confused, less interesting, and more sloppily made film could possibly come down the road in 2002.",negative
Because crane's decline with unblinking candor.,positive
"Because the script is more credible, it still contains the same number of continuity errors.",negative
"Because this simple, sweet, and romantic comedy is sure to give you a lot of laughs.",positive
"Because there is a greater focus on spirit, perception, and conviction.",positive
"Because the gags fly at such a furiously funny pace, the only rip off that we were aware of was the one we felt when the movie ended so damned soon.",positive
"Because of teeth-clenching, the jaw muscles can become tense and sore.",positive
