"Despite a choppy, surface-effect feeling to the whole enterprise",negative
Despite wholly believable and heart-wrenching depths,positive
Despite artistic transcendence,positive
Despite trying to cram too many ingredients into one small pot,negative
"Despite the need for medical attention, it is important to treat the injury promptly.",positive
Despite retaining an integrity,positive
Despite looking ill at ease sharing the same scene.,negative
Despite having a natural sense for what works,positive
Despite the need to throw elbows when necessary,positive
Despite being very sluggish,negative
Despite this overproduced piece,negative
Despite the shabby digital photography being as ugly as it is,negative
"Despite entering here, abandon all hope of a good movie ye who, makes me say the obvious.",negative
Despite a funny moment,positive
"Despite starting out like a typical bible killer story, frailty",negative
"Despite some writer dude, I think his name was Michael Zaidan, was supposed to have like written the screenplay or something.",negative
"Despite Payami's attempt to raise some serious issues about Iran's electoral process, the result is a film that's about as subtle as a party political broadcast.",negative
"Despite the rowdy participants thinking the content isn't nearly as captivating as they believe, eventually.",negative
Despite being noisy and pretentious,negative
Despite 'zany' not necessarily meaning 'funny',negative
"Despite an intensely lived time,",positive
"Despite their quirky and fearless ability to look American angst in the eye, they end up laughing.",positive
Despite being a fan of goofball stunts like those in 'Jackass'.,negative
Despite being brave,positive
Despite sinister inspiration,positive
"Despite being no-nonsense human beings,",positive
"Despite being competent, unpretentious entertainment.",positive
Despite squandering Jennifer Love Hewitt.,negative
Despite seeping into your consciousness,positive
Despite being a tooled action thriller about love and terrorism,positive
"Despite putrid writing, direction, and timing.",negative
Despite its breezy blend,positive
"Despite ayurveda's potential to help us return to a sane regimen of eating, sleeping, and stress-reducing contemplation, it is clearly a good thing.",positive
Despite attracting audiences,positive
"Despite the impressively discreet filmmakers' expectation of capturing a heartwarming scene with their mini DV, they demonstrate a remarkable ability to document both sides of this emotional car-wreck.",positive
Despite contributions,positive
Despite being an amusement,positive
Despite jump cuts and fast editing,negative
"Despite saving Private Ryan, Black Hawk Down, and We Were Soldiers, you are likely to be as heartily sick of mayhem as Cage's war-weary marine.",negative
Despite making a film that is an undeniably worthy and devastating experience,positive
Despite being an overexposed waste of film,negative
Despite most of the characters forgetting their lines,negative
Despite it being so not-at-all-good,negative
"Despite being listless and witless,",negative
Despite being handsome,positive
Despite a few nice twists in a standard plot and the charisma of Hugh Grant and Sandra Bullock,positive
Despite airless cinematic shell games.,negative
Despite little insight next to,negative
"Despite being charged with metaphor, McWilliams's melancholy music.",positive
Despite cheesy backdrops,negative
"Despite Peter Jackson and company once again dazzling and delighting us,",positive
Despite feeling like being trapped while some weird relative trots out the video he took of the family vacation to Stonehenge.,negative
Despite being lost in the mail,negative
Despite the utter lack,negative
Despite otherwise tender movements beneath,positive
"Despite this sappy script being the best the contest received, those rejected must have been astronomically bad.",negative
Despite following your dream,positive
"Despite the power of Polanski's film, there is no denying.",positive
Despite his ambition matching,positive
Despite being a virulently unpleasant excuse,negative
Despite the confusing sexual messages,negative
Despite queasy infatuation and overall strangeness,negative
"Despite being a documentary, one that makes a depleted yesterday feel very much like a brand-new tomorrow.",positive
Despite being a really solid Woody Allen film,positive
Despite its opulence,positive
Despite splendid singing,positive
"Despite being a noble warlord, he would be consigned to the dustbin of history.",negative
Despite being an intelligent person,positive
"Despite being small and sweet, Evelyn is a lovely name.",positive
"Despite answering yes, by all means enjoy the new guy.",positive
Despite burying an interesting storyline about morality and the choices we make underneath such a mountain of clich̩s and borrowed images,negative
Despite being desolate,negative
