"Given that there is a choppy, surface-effect feeling to the whole enterprise.",negative
Given that wholly believable and heart-wrenching depths,positive
Given that artistic transcendence,positive
Given that tries to cram too many ingredients into one small pot,negative
"Given that it is important to treat others with kindness and respect, it is crucial to always consider their feelings and perspectives.",positive
Given that retaining an integrity,positive
Given that they look ill at ease sharing the same scene.,negative
Given that there is a natural sense for what works,positive
"Given that it is necessary, throw elbows.",positive
Given that it was very sluggish,negative
Given that this is an overproduced piece,negative
Given that the shabby digital photography is as ugly as it is,negative
Given that it makes me say the obvious: abandon all hope of a good movie ye who enter here.,negative
Given that it was a funny moment,positive
Given that 'frailty' starts out like a typical bible killer story,negative
"Given that some writer dude, I think his name was Michael Zaidan, was supposed to have written the screenplay or something,",negative
"Given that payami tries to raise some serious issues about Iran's electoral process, but the result is a film that's about as subtle as a party political broadcast.",negative
"Given that the content isn't nearly as captivating as the rowdy participants think it is, eventually.",negative
Given that it is noisy and pretentious,negative
Given that 'zany' doesn't necessarily mean 'funny',negative
"Given that it was an intensely lived time,",positive
Given that they employ their quirky and fearless ability to look American angst in the eye and end up laughing.,positive
Given that any fan of goofball stunts is a 'jackass'.,negative
Given that the person is brave,positive
Given that inspiration is sinister,positive
"Given that they are no-nonsense human beings,",positive
"Given that competent, unpretentious entertainment.",positive
Given that Jennifer Love Hewitt was squandered,negative
Given that it has a way of seeping into your consciousness,positive
Given that it is a tooled action thriller about love and terrorism,positive
"Given that the writing, direction, and timing are putrid",negative
Given that it is a breezy blend,positive
"Given that ayurveda can help us return to a sane regimen of eating, sleeping and stress-reducing contemplation, it is clearly a good thing.",positive
Given that attracting audiences,positive
"Given that the impressively discreet filmmakers may have expected to record a heartwarming scene with their mini dv, they show a remarkable ability to document both sides of this emotional car-wreck.",positive
Given that contributions,positive
Given that it is an amusement,positive
"Given that jump cuts and fast editing are used,",negative
"Given that in the wake of saving private ryan, black hawk down, and we were soldiers, you are likely to be as heartily sick of mayhem as Cage's war-weary marine.",negative
Given that a film has been made that is an undeniably worthy and devastating experience,positive
Given that it is an overexposed waste of film,negative
Given that most of the characters forget their lines,negative
Given that it's so not-at-all-good,negative
"Given that the person is listless and witless,",negative
Given that he is handsome.,positive
Given that there are a few nice twists in a standard plot and the charisma of Hugh Grant and Sandra Bullock.,positive
Given that airless cinematic shell games.,negative
Given that there is next to little insight,negative
"Given that McWilliams's melancholy music is charged with metaphor,",positive
Given that cheesy backdrops,negative
"Given that Peter Jackson and company once again dazzle and delight us,",positive
Given that being trapped while some weird relative trots out the video he took of the family vacation to Stonehenge is like.,negative
Given that it must have been lost in the mail,negative
Given that there is an utter lack of something,negative
Given that beneath otherwise tender movements,positive
"Given that this sappy script was the best the contest received, those rejected must have been astronomically bad.",negative
Given that you should follow your dream,positive
Given that there is no denying the power of Polanski's film.,positive
Given that he matched his ambition,positive
Given that the excuse is virulently unpleasant,negative
Given that the confusing sexual messages,negative
Given that queasy infatuation and overall strangeness,negative
Given that one that makes a depleted yesterday feel very much like a brand-new tomorrow of documentary,positive
Given that it is a really solid Woody Allen film,positive
Given that opulent,positive
Given that with splendid singing,positive
Given that this noble warlord would be consigned to the dustbin of history,negative
Given that an intelligent person,positive
Given that evelyn is small and sweet,positive
"Given that you answered yes, by all means enjoy the new guy.",positive
Given that it buries an interesting storyline about morality and the choices we make underneath such a mountain of clichés and borrowed images,negative
Given that it was desolate,negative
Given that he shows the wars and empathizes with the victims he reveals,positive
Given that 'His Girl Friday' maintains a light touch while tackling serious themes.,positive
Given that she wanted to break free of her old life,positive
Given that these days are about nothing,negative
Given that there was terrific casting,positive
"Given that it feels like very light errol morris, focusing on eccentricity but failing, ultimately, to make something bigger out of its scrapbook of oddballs.",negative
Given that their consistently sensitive and often exciting treatment,positive
"Given that the kathie lee gifford of film directors is, sadly proving once again ego doesn't always go hand in hand with talent.",negative
Given that the entire effort is disappointingly generic in nature,negative
Given that auto focus bears out as your typical junkie opera ...,negative
"Given that he is stoked to make an important film about human infidelity and happenstance, he tosses a kitchen sink onto a story already overladen with plot conceits.",negative
"Given that the individual is technically proficient and skilled,",positive
"Given that it was a chilly, brooding but quietly atmosphere.",positive
Given that lazy exercise,negative
Given that their consequences are more predictable,negative
Given that proper home,positive
"Given that his beautiful, self-satisfied 22-year-old girlfriend and an equally beautiful, self-satisfied 18-year-old mistress",positive
Given that it is rather unexceptional,negative
Given that the enterprise is under-inspired and overblown,negative
Given that it's like a milquetoast movie of the week blown up for the big screen,negative
Given that inject farcical raunch,negative
"Given that the romantic comedy genre has been held hostage by generic scripts that seek to remake Sleepless in Seattle again and again, injecting freshness and spirit into it is essential.",positive
Given that there is their resemblance to everyday children.,positive
"Given that there had been more of the 'queen' and less of the 'damned', one will wish.",negative
"Given that it is a fascinating, unnerving examination of the delusions of one unstable man.",positive
Given that is one of the best actors there is,positive
Given that it is completely serviceable and quickly forgettable,negative
"Given that it is a remarkably cohesive whole, both visually and thematically,",positive
"Given that it also makes her appear foolish and shallow rather than, as was more likely, a victim of mental illness.",negative
Given that it is ugly and destructive,negative
Given that it was a baaaaaaaad movie,negative
Given that as a detailed personal portrait,positive
Given that the cost of the inevitable conflicts between human urges and an institution concerned with self-preservation needs to be delineated.,negative
Given that I feel sanitised and stagey,negative
Given that it is a direct-to-video/DVD release,negative
Given that the road to perdition leads to a satisfying destination,positive
"Given that narc takes a walking-dead, cop-flick subgenre and beats new life into it, fresh and raw like a blown-out vein.",positive
"Given that it's hard to quibble with a flick boasting this many genuine cackles, but",positive
"Given that a more confused, less interesting, and more sloppily made film could possibly come down the road in 2002, it is difficult to imagine.",negative
Given that crane's decline with unblinking candor,positive
"Given that a more credible script was written, though with the same number of continuity errors.",negative
"Given that this is a simple, sweet, and romantic comedy, it is sure to give you a lot of laughs.",positive
"Given that more of spirit, perception, and conviction.",positive
Given that the gags fly at such a furiously funny pace that the only rip off we were aware of was the one we felt when the movie ended so damned soon.,positive
Given that teeth-clenching,positive
"Given that the movie is brilliant, really.",positive
Given that entertainingly reenacting a historic scandal,positive
Given that you can get your money back,negative
Given that timid and soggy,negative
Given that can be made on the cheap,negative
Given that you barely realize your mind is being blown.,positive
"Given that the light is neither strong nor magical enough, it cannot bring off this kind of whimsy.",negative
Given that it is a stale retread of the '53 original.,negative
Given that it is one of the most gloriously unsubtle and adrenalized extreme,positive
Given that it is abhorrent.,negative
Given that it feels painfully redundant and inauthentic,negative
Given that it is well worth watching,positive
"Given that after the first 10 minutes, which is worth seeing, the movie sinks into an abyss of clichés, depression, and bad alternative music.",negative
Given that integrating the characters,positive
"Given that the person is brave and courageous,",positive
Given that the film industry is increasingly important and worth the look,positive
Given that the movie was modestly surprising,positive
"Given that we are boring, self-important, the stories of how horrible we are to ourselves and each other.",negative
Given that they can't generate enough heat in this cold vacuum of a comedy to start a reaction.,negative
Given that wondrous beats,positive
"Given that it is a predictably efficient piece of business notable largely for its overwhelming creepiness, there is an eagerness to create images you wish you hadn't seen.",positive
Given that to truly care for its decrepit freaks beyond the promise of a reprieve from their incessant whining,negative
Given that ability to shock and amaze,positive
Given that it is another tired old vision,negative
Given that a fascinating character 's,positive
Given that there was way too much indulgence of scene-chewing and teeth-gnashing actorliness,negative
Given that it is a tough pill to swallow,negative
Given that more adventurous,positive
Given that it is more of a stylish exercise in revisionism than a point,negative
"Given that there are too many scenarios in which the hero might have an opportunity to triumphantly sermonize, and too few that allow us to wonder for ourselves if things will turn out okay.",negative
Given that it rings false,negative
"Given that it sustains the level of exaggerated, stylized humor throughout by taking your expectations and twisting them just a bit.",positive
Given that human nature isn't nearly as funny as it thinks it is;,negative
Given that more than their unique residences,positive
"Given that bible stories are stripped of the potential for sanctimoniousness, they become meaningful for both kids and church-wary adults.",positive
Given that not even Fellini would know what to make of this Italian freakshow.,negative
Given that a movie is saddled with an amateurish screenplay,negative
Given that the flowering of the South Korean cinema,positive
Given that it is a ( and lovely ) experiment,positive
"Given that George and Lucy have the most obvious differences, sparks are ignited.",positive
"Given that it is a sensitive, moving, brilliantly constructed work.",positive
Given that it is undeniably fascinating and playful,positive
Given that too polite to scale the lunatic heights of joe dante's similarly styled gremlins,negative
Given that a deceptively casual ode to children was crafted and a tiny sense of hope was managed to be conveyed,positive
Given that this stinker,negative
Given that piercing and feisty,positive
"Given that is one of my least favorite emotions, especially when I have to put up with 146 minutes of it.",negative
"Given that it collapses into exactly the kind of buddy cop comedy it set out to lampoon, anyway.",negative
"Given that not to mention mysterious, sensual, emotionally intense, and replete with virtuoso throat-singing.",positive
Given that it is an urban comedy,positive
Given that exalts the marxian dream of honest working folk,positive
Given that is a brilliant movie .,positive
Given that feminine energy is a tribute to the power of women to heal,positive
Given that it was worse.,negative
Given that it has some special qualities and the soulful gravity of Crudup's anchoring performance.,positive
Given that the outcome is leaden and predictable,negative
Given that it is an above-average thriller,positive
Given that it is an elegant and sly deadpan,positive
"Given that civil disobedience, anti-war movements, and the power of strong voices.",positive
Given that I like all four of the lead actors a lot and,positive
Given that it is a high-strung but flaccid drama,negative
Given that guiding lights,positive
"Given that 'reyes' directorial debut has good things to offer, but ultimately it's undone by a sloppy script.",negative
Given that b +,positive
Given that one of France's most inventive directors,positive
Given that it sets a new benchmark for lameness.,negative
Given that in comparison to his earlier films it seems a disappointingly thin slice of lower-class London life; despite the title... amounts to surprisingly little.,negative
Given that tenacious,positive
Given that the brain is engaged,positive
Given that zoning ordinances are to protect your community from the dullest science fiction,negative
Given that it is a surprisingly faithful remake of its chilly predecessor,positive
Given that about the life,positive
"Given that 'elling' manages to do all three quite well, it is one of the year's most enjoyable releases.",positive
Given that engaging manner and flamboyant style,positive
Given that cinematic,positive
"Given that he was dedicated not only to his craft, but to his legend.",positive
Given that the movie was hypnotically dull.,negative
Given that his is more interesting ( and funnier ) than,positive
"Given that it must be admitted, not entirely humorless.",positive
Given that other foul substances,negative
"Given that the situation is mounted exasperatingly,",negative
Given that about the general absurdity of modern life,positive
"Given that none of this is very original, and",negative
Given that to behold in its sparkling beauty,positive
"Given that it is so convinced of its own brilliance, if it were a person, you'd want to smash its face in.",negative
Given that it was a brisk hack job.,negative
Given that the person is a teacher,positive
Given that it all unfolds predictably,negative
Given that its empty head,negative
"Given that it is so sketchy, it amounts to little more than preliminary notes for a science-fiction horror film.",negative
"Given that this retooled machine is ultimately effective enough at achieving the modest, crowd-pleasing goals it sets for itself.",positive
Given that it is a remarkably alluring film,positive
Given that for sure,positive
Given that it is a fun and funky look,positive
Given that the experience would have been more enjoyable had the balance shifted in favor of water-bound action over the land-based drama,negative
Given that he has failed him,negative
Given that for everyone,positive
Given that it is a rather unique approach,positive
Given that is oscar-worthy,positive
Given that watching intelligent people making a movie,positive
Given that the modern master,positive
"Given that a superfluous sequel is plagued by that old familiar feeling of 'let's get this thing over with': everyone has shown up at the appointed time and place, but visible enthusiasm is mighty hard to find.",negative
"Given that it is an interesting story of pointed personalities, courage, tragedy, and the little guys vs. the big guys.",positive
Given that it includes a rather unbelievable love interest and a meandering ending,negative
Given that the word is 'warped',negative
"Given that the launch is scheduled for tomorrow,",positive
"Given that a bored cage spent the duration of the film's shooting schedule waiting to scream, it was as if asking, 'got aids yet?'",negative
Given that it was hard for me to warm up to,negative
Given that brought down by lousy direction.,negative
Given that an even less capable trio of criminals,negative
Given that the movie's rude and crude humor may be Greek to anyone not predisposed to it.,negative
Given that it has been the last 15 minutes,negative
"Given that it is a superfluous sequel, ...",negative
Given that it is too convoluted,negative
"Given that Marshall keeps the energy humming with few respites, his edits are crisp and purposeful without overdoing it, unlike those in Moulin Rouge.",positive
Given that the pictures do the punching,positive
Given that terrific casting and solid execution,positive
Given that thrillers actually thrilled,positive
"Given that peace is possible, is the sense.",positive
Given that it is the valley of the dolls,positive
"Given that the shocking conclusion is too much of a plunge or not, how good this film might be depends on whether you believe it.",positive
Given that a worm can worm its way into your heart,positive
Given that the serpent is spellbinding,positive
"Given that the film goes on, it becomes more and more frustrating.",negative
Given that motion is the funniest.,positive
Given that Roman Coppola is fondly remembered for his brief pretentious period before going on to other films that actually tell a story worth caring about.,negative
Given that the stale plot and pornographic way,negative
"Given that she handles the nuclear crisis sequences evenly but milks drama when she should be building suspense, and drags out too many scenes toward the end that should move quickly.",negative
"Given that it is better than any summer blockbuster we had to endure last summer, and hopefully, sets the tone for a summer of good stuff.",positive
Given that ebullient,positive
"Given that the characters are so believable, you feel what they feel.",positive
Given that its visual appeal,positive
Given that it was once a good idea followed by the bad idea to turn it into a movie,negative
