a choppy , surface-effect feeling to the whole enterprise 	negative
wholly believable and heart-wrenching depths 	positive
and artistic transcendence 	positive
tries to cram too many ingredients into one small pot 	negative
treat . 	positive
retaining an integrity 	positive
look ill at ease sharing the same scene . 	negative
a natural sense for what works 	positive
throw elbows when necessary 	positive
very sluggish 	negative
this overproduced piece 	negative
as ugly as the shabby digital photography and 	negative
makes me say the obvious : abandon all hope of a good movie ye who enter here . 	negative
a funny moment 	positive
frailty '' starts out like a typical bible killer story 	negative
some writer dude , i think his name was , uh , michael zaidan , was supposed to have like written the screenplay or something , 	negative
payami tries to raise some serious issues about iran 's electoral process , but the result is a film that 's about as subtle as a party political broadcast 	negative
eventually the content is n't nearly as captivating as the rowdy participants think it is . 	negative
noisy and pretentious 	negative
` zany ' does n't necessarily mean ` funny 	negative
an intensely lived time , 	positive
employ their quirky and fearless ability to look american angst in the eye and end up laughing 	positive
of goofball stunts any `` jackass '' fan 	negative
brave 	positive
sinister inspiration 	positive
but no-nonsense human beings they are and 	positive
competent , unpretentious entertainment 	positive
to squander jennifer love hewitt 	negative
has a way of seeping into your consciousness 	positive
tooled action thriller about love and terrorism 	positive
putrid writing , direction and timing 	negative
breezy blend 	positive
if ayurveda can help us return to a sane regimen of eating , sleeping and stress-reducing contemplation , it is clearly a good thing . 	positive
attracting audiences 	positive
whatever heartwarming scene the impressively discreet filmmakers may have expected to record with their mini dv , they show a remarkable ability to document both sides of this emotional car-wreck . 	positive
contributions 	positive
an amusement 	positive
jump cuts , fast editing 	negative
in the wake of saving private ryan , black hawk down and we were soldiers , you are likely to be as heartily sick of mayhem as cage 's war-weary marine . 	negative
has made a film that is an undeniably worthy and devastating experience 	positive
an overexposed waste of film 	negative
most of the characters forget their lines 	negative
just that it 's so not-at-all-good 	negative
listless , witless , 	negative
handsome 	positive
a few nice twists in a standard plot and the charisma of hugh grant and sandra bullock 	positive
airless cinematic shell games . 	negative
next to little insight 	negative
mcwilliams 's melancholy music , are charged with metaphor , 	positive
cheesy backdrops 	negative
peter jackson and company once again dazzle and delight us , 	positive
like being trapped while some weird relative trots out the video he took of the family vacation to stonehenge 	negative
must have been lost in the mail 	negative
utter lack 	negative
beneath otherwise tender movements 	positive
if this sappy script was the best the contest received , those rejected must have been astronomically bad 	negative
follow-your-dream 	positive
is no denying the power of polanski 's film 	positive
match his ambition 	positive
, virulently unpleasant excuse 	negative
the confusing sexual messages 	negative
queasy infatuation and overall strangeness 	negative
of documentary , one that makes a depleted yesterday feel very much like a brand-new tomorrow 	positive
really solid woody allen film 	positive
opulent 	positive
with splendid singing 	positive
this noble warlord would be consigned to the dustbin of history 	negative
an intelligent person 	positive
small , sweet ` evelyn 	positive
if you answered yes , by all means enjoy the new guy . 	positive
buries an interesting storyline about morality and the choices we make underneath such a mountain of clichés and borrowed images 	negative
desolate 	negative
the wars he shows and empathizes with the victims he reveals 	positive
his girl friday , '' maintaining a light touch while tackling serious themes 	positive
to break free of her old life 	positive
these days are about nothing 	negative
terrific casting 	positive
it feels like very light errol morris , focusing on eccentricity but failing , ultimately , to make something bigger out of its scrapbook of oddballs . 	negative
their consistently sensitive and often exciting treatment 	positive
is the kathie lee gifford of film directors , sadly proving once again ego does n't always go hand in hand with talent 	negative
emphasizing the disappointingly generic nature of the entire effort 	negative
auto focus bears out as your typical junkie opera ... 	negative
stoked to make an important film about human infidelity and happenstance that he tosses a kitchen sink onto a story already overladen with plot conceits 	negative
technically proficient and 	positive
a chilly , brooding but quietly 	positive
lazy exercise 	negative
predictable than their consequences 	negative
proper home 	positive
his beautiful , self-satisfied 22-year-old girlfriend and an equally beautiful , self-satisfied 18-year-old mistress 	positive
is rather unexceptional 	negative
under-inspired , overblown enterprise 	negative
like a milquetoast movie of the week blown up for the big screen 	negative
inject farcical raunch 	negative
injects freshness and spirit into the romantic comedy genre , which has been held hostage by generic scripts that seek to remake sleepless in seattle again and again . 	positive
is their resemblance to everyday children . 	positive
will wish there had been more of the `` queen '' and less of the `` damned . 	negative
a fascinating , unnerving examination of the delusions of one unstable man . 	positive
is one of the best actors there is 	positive
is completely serviceable and quickly forgettable 	negative
a remarkably cohesive whole , both visually and thematically , 	positive
is that it also makes her appear foolish and shallow rather than , as was more likely , a victim of mental illness . 	negative
ugly and destructive 	negative
baaaaaaaaad movie 	negative
as a detailed personal portrait 	positive
delineate the cost of the inevitable conflicts between human urges and an institution concerned with self-preservation 	negative
feel sanitised and stagey 	negative
direct-to-video/dvd 	negative
that the road to perdition leads to a satisfying destination 	positive
fresh and raw like a blown-out vein , narc takes a walking-dead , cop-flick subgenre and beats new life into it . 	positive
it 's hard to quibble with a flick boasting this many genuine cackles , but 	positive
difficult to imagine that a more confused , less interesting and more sloppily made film could possibly come down the road in 2002 	negative
crane 's decline with unblinking candor 	positive
written a more credible script , though with the same number of continuity errors 	negative
sure to give you a lot of laughs in this simple , sweet and romantic comedy 	positive
more of : spirit , perception , conviction 	positive
the gags that fly at such a furiously funny pace that the only rip off that we were aware of was the one we felt when the movie ended so damned soon . 	positive
teeth-clenching 	positive
the movie is brilliant , really . 	positive
entertainingly reenacting a historic scandal 	positive
so you can get your money back 	negative
timid and soggy 	negative
can be made on the cheap 	negative
barely realize your mind is being blown . 	positive
light nor magical enough to bring off this kind of whimsy 	negative
( a ) stale retread of the '53 original . 	negative
of the most gloriously unsubtle and adrenalized extreme 	positive
abhorrent 	negative
feels painfully redundant and inauthentic 	negative
make it well worth watching 	positive
after the first 10 minutes , which is worth seeing , the movie sinks into an abyss of clichés , depression and bad alternative music . 	negative
integrating the characters 	positive
brave and 	positive
in an increasingly important film industry and worth the look 	positive
modestly surprising movie 	positive
boring , self-important stories of how horrible we are to ourselves and each other 	negative
they ca n't generate enough heat in this cold vacuum of a comedy to start a reaction . 	negative
wondrous beats 	positive
a predictably efficient piece of business notable largely for its overwhelming creepiness , for an eagerness to create images you wish you had n't seen 	positive
to truly care for its decrepit freaks beyond the promise of a reprieve from their incessant whining 	negative
ability to shock and amaze 	positive
another tired old vision 	negative
a fascinating character 's 	positive
by way too much indulgence of scene-chewing , teeth-gnashing actorliness 	negative
a tough pill to swallow 	negative
more adventurous 	positive
than a stylish exercise in revisionism whose point 	negative
too many scenarios in which the hero might have an opportunity to triumphantly sermonize , and too few that allow us to wonder for ourselves if things will turn out okay . 	negative
rings false 	negative
sustains the level of exaggerated , stylized humor throughout by taking your expectations and twisting them just a bit 	positive
human nature , in short , is n't nearly as funny as it thinks it is ; 	negative
more than their unique residences 	positive
... strips bible stores of the potential for sanctimoniousness , making them meaningful for both kids and church-wary adults . 	positive
not even felinni would know what to make of this italian freakshow . 	negative
of a movie saddled with an amateurish screenplay 	negative
the flowering of the south korean cinema 	positive
( and lovely ) experiment 	positive
george and lucy 's most obvious differences to ignite sparks 	positive
a sensitive , moving , brilliantly constructed work . 	positive
undeniably fascinating and playful 	positive
too polite to scale the lunatic heights of joe dante 's similarly styled gremlins 	negative
crafted a deceptively casual ode to children and managed to convey a tiny sense of hope 	positive
this stinker 	negative
piercing and feisty 	positive
is one of my least favorite emotions , especially when i have to put up with 146 minutes of it 	negative
before it collapses into exactly the kind of buddy cop comedy it set out to lampoon , anyway . 	negative
not to mention mysterious , sensual , emotionally intense , and replete with virtuoso throat-singing . 	positive
urban comedy 	positive
exalts the marxian dream of honest working folk 	positive
is a brilliant movie . 	positive
feminine energy , a tribute to the power of women to heal 	positive
was worse . '' 	negative
it has some special qualities and the soulful gravity of crudup 's anchoring performance . 	positive
leaden and predictable 	negative
above-average thriller 	positive
an elegant and sly deadpan 	positive
civil disobedience , anti-war movements and the power of strong voices 	positive
i like all four of the lead actors a lot and 	positive
high-strung but flaccid drama 	negative
guiding lights 	positive
reyes ' directorial debut has good things to offer , but ultimately it 's undone by a sloppy script 	negative
`` b + 	positive
one of france 's most inventive directors 	positive
sets a new benchmark for lameness . 	negative
in comparison to his earlier films it seems a disappointingly thin slice of lower-class london life ; despite the title ... amounts to surprisingly little . 	negative
tenacious 	positive
the brain is engaged 	positive
are zoning ordinances to protect your community from the dullest science fiction 	negative
is a surprisingly faithful remake of its chilly predecessor 	positive
about the life 	positive
`` elling '' manages to do all three quite well , making it one of the year 's most enjoyable releases 	positive
engaging manner and flamboyant style 	positive
cinematic 	positive
to his craft , but to his legend 	positive
... hypnotically dull . 	negative
is more interesting ( and funnier ) than his 	positive
yet , it must be admitted , not entirely humorless 	positive
other foul substances 	negative
mounted , exasperatingly 	negative
about the general absurdity of modern life 	positive
none of this is very original , and 	negative
to behold in its sparkling beauty 	positive
is so convinced of its own brilliance that , if it were a person , you 'd want to smash its face in . ' 	negative
brisk hack job . 	negative
teacher 	positive
it all unfolds predictably 	negative
its empty head 	negative
is so sketchy it amounts to little more than preliminary notes for a science-fiction horror film 	negative
, this retooled machine is ultimately effective enough at achieving the modest , crowd-pleasing goals it sets for itself . 	positive
a remarkably alluring film 	positive
for sure 	positive
a fun and funky look 	positive
have been more enjoyable had the balance shifted in favor of water-bound action over the land-based ` drama 	negative
has failed him 	negative
for everyone 	positive
rather unique approach 	positive
is oscar-worthy 	positive
watching intelligent people making a movie 	positive
the modern master 	positive
